Handle;Title;Option1 Name;Option1 Value (Material);Option2 Name;Option2 Value (Farbe);Option3 Name;Option3 Value (Marke);SKU;Qty;Spalte1;Spalte2;Spalte3;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold + silber + kupfer;Marke;Geetech;GEE-PLA-3GOSIKU;2;;;;;;
;;;;;;;;;;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;schwarz;Marke;Geetech;GEE-PLA-MT-SW;8;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;weiß;Marke;Geetech;GEE-PLA-MT-WE;8;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;blau;Marke;Geetech;GEE-PLA-MT-BL;5;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;grau;Marke;Geetech;GEE-PLA-MT-GR;5;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;braun;Marke;Geetech;GEE-PLA-MT-BR;4;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;hautfarben;Marke;Geetech;GEE-PLA-MT-HAT;3;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;oliven grün;Marke;Geetech;GEE-PLA-MT-OGRÜ;4;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;stein grau;Marke;Geetech;GEE-PLA-MT-SGR;6;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;grün;Marke;Geetech;GEE-PLA-MT-GRÜ;4;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;orange;Marke;Geetech;GEE-PLA-MT-ORA;4;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;dunkel grau;Marke;Geetech;GEE-PLA-MT-DGR;4;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;hell grau;Marke;Geetech;GEE-PLA-MT-HGR;4;;;;;;
pla-matt-175;PLA Matt Filament 1.75mm;Material;PLA matt;Farbe;navy blau;Marke;Geetech;GEE-PLA-MT-NBL;0;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
pla-cf-175;PLA CF Filament 1.75mm;Material;PLA CF;Farbe;schwarz;Marke;Colido;COL-PLA-CF-SW;2;;;;;;
petg-cf-175;PETG CF Filament 1.75mm;Material;PETG CF;Farbe;schwarz;Marke;Colido;COL-PETG-CF-SW;6;;;;;;
;;;;;;;;;;;;;;;
pla-holz-175;Holz Filament 1.75mm;Material;PLA Holz;Farbe;braun;Marke;Geetech;GEE-HOLZ-BR;4;;;;;;
pla-holz-175;Holz Filament 1.75mm;Material;PLA Holz;Farbe;black walnut;Marke;Geetech;GEE-HOLZ-BW;2;;;;;;
pla-holz-175;Holz Filament 1.75mm;Material;PLA Holz;Farbe;rose;Marke;Geetech;GEE-HOLZ-RO;3;;;;;;
pla-holz-175;Holz Filament 1.75mm;Material;PLA Holz;Farbe;ebony;Marke;Geetech;GEE-HOLZ-EB;2;;;;;;
pla-holz-175;Holz Filament 1.75mm;Material;PLA Holz;Farbe;poplar;Marke;Geetech;GEE-HOLZ-PO;2;;;;;;
pla-marmor-175;Marmor Filament 1.75mm;Material;PLA Marmor;Farbe;grau;Marke;Geetech;GEE-MAR-GR;5;;;;;;
pla-marmor-175;Marmor Filament 1.75mm;Material;PLA Marmor;Farbe;blau;Marke;Geetech;GEE-MAR-BL;2;;;;;;
pla-marmor-175;Marmor Filament 1.75mm;Material;PLA Marmor;Farbe;braun;Marke;Geetech;GEE-MAR-BR;3;;;;;;
;;;;;;;;;;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;gelb;Marke;Geetech;GEE-GLOW-GE;0;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;orange;Marke;Geetech;GEE-GLOW-OR;3;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;lila;Marke;Geetech;GEE-GLOW-LI;0;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;blau;Marke;Geetech;GEE-GLOW-BL;1;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;pink/rose red;Marke;Geetech;GEE-GLOW-PI;1;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;grün;Marke;Geetech;GEE-GLOW-GR;1;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;weiß;Marke;Geetech;GEE-GLOW-WE;2;;;;;;
pla-glow-175;Glow-in-the-Dark Filament 1.75mm;Material;PLA Glow;Farbe;multicolor;Marke;Geetech;GEE-GLOW-MU;1;;;;;;
;;;;;;;;;;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;lila;Marke;Geetech;GEE-ASA-LI;3;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;orange;Marke;Geetech;GEE-ASA-OR;2;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;grün;Marke;Geetech;GEE-ASA-GRÜ;2;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;blau;Marke;Geetech;GEE-ASA-BL;2;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;grau;Marke;Geetech;GEE-ASA-GR;4;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;weiß;Marke;Geetech;GEE-ASA-WE;1;;;;;;
asa-175;ASA Filament 1.75mm;Material;ASA;Farbe;schwarz;Marke;Geetech;GEE-ASA-SW;10;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;778;;;;;
